"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1729", ""
"date", "1802", ""
"date", "1804", ""
"date", "1804", ""
"date", "Aug. 11th 1841", ""
"date", "Dec. 13th 1781", ""
"date", "May", ""
"date", "May 1806", ""
"date", "Oct. 5", ""
"date", "October 6th 1847", ""
"date", "Sept 1808", ""
"date", "middle of Sept.", ""
"objectType", "cross", ""
"orgName", "Congregation", ""
"orgName", "school of affliction", ""
"persName", "B. Bradley", ""
"persName", "Br. Livius", ""
"persName", "Br. Pohlman", ""
"persName", "Christ Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus Christ", ""
"persName", "John Willey", ""
"persName", "Joseph", ""
"persName", "Michael Willey", ""
"persName", "Sir W. Hamilton", ""
"placeName", "Bedford", ""
"placeName", "Bristol", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Grace- hill", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Kingswood", ""
"placeName", "Kingwood congregation", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Mirfield", ""
"placeName", "Mirfield", ""
"placeName", "Mirfield", ""
"placeName", "Pudsey", ""
"placeName", "garden", ""
"placeName", "home", ""
"placeName", "shore of the lake", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord and Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Saviour", ""
"roleName", "children", ""
"roleName", "laborers", ""
"roleName", "mother", ""
"roleName", "nurse", ""
"roleName", "physician", ""
"roleName", "physicians", ""
"roleName", "savior", ""
"roleName", "servant", ""
"roleName", "widow", ""
"roleName", "wife", ""
