"elementName", "elementContent", "typeAttributeIfPresent"
"date", "2nd.", "", ""
"date", "February 2nd.", "", ""
"date", "February 2nd?", "", ""
"date", "February 4, 1922", "", ""
"date", "Last Thursday?", "", ""
"date", "Thursday morning or Wednesday night", "", ""
"date", "Thursday morning.", "", ""
"date", "Wednesday", "", ""
"objectName", "body", "", ""
"objectName", "body", "", ""
"objectName", "body", "", ""
"objectName", "body", "", ""
"objectName", "body ", "", "body"
"objectName", "bullet wound.", "body_part", ""
"objectName", "clothing", "", ""
"objectName", "desk", "", ""
"objectName", "fire-arms", "", ""
"objectName", "fire-arms", "", ""
"objectName", "pillow", "furniture", ""
"objectName", "revolver", "", ""
"objectName", "revolver", "", ""
"objectName", "shirt", "clothing", ""
"objectName", "suit", "", ""
"objectName", "upper drawer", "", ""
"objectName", "vest", "clothing", ""
"objectName", "vest", "clothing", ""
"persName", "Ashley Santoro", "", "#santoro"
"persName", "Charles Eyton.", "", "#eyton_charles"
"persName", "Charles Maigne", "", "#maigne_charles"
"persName", "Deputy Coroner", "", "coroner"
"persName", "Deputy Coroner", "", "deputy_coroner"
"persName", "Detective Ziegler", "", "#ziegler_thomas"
"persName", "Detective Ziegler", "", "#ziegler_thomas"
"persName", "Detective Ziegler", "", "#ziegler_thomas"
"persName", "Douglas", "", "#maclean_douglas"
"persName", "Douglas Maclean", "", "#maclean_douglas"
"persName", "Douglas Maclean", "", "#maclean_douglas"
"persName", "Elizabeth Settle", "", "#settle"
"persName", "Harry Fellows", "", "#fellows_harry"
"persName", "Harry Fellows", "", "#fellows_harry"
"persName", "Harry Peavey", "", "#peavey_henry"
"persName", "Mr. MacLean", "", "#maclean_douglas"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Eyton", "", "#eyton_charles"
"persName", "Mr. Eyton", "", ""
"persName", "Mr. Maclean", "", "#maclean_douglas"
"persName", "Mr. Maclean", "", "#maclean_douglas"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Taylor's assistant [Harry Fellows]", "", "#fellows_harry"
"persName", "Mrs. MacLean", "", "#maclean_faith"
"persName", "Mrs. Maclean", "", "#maclean_faith"
"persName", "Taylor's", "", "#taylor_william"
"persName", "The deputy coroner", "", "deputy coroner"
"persName", "William Desmond Taylor.", "", "#taylor_william"
"persName", "doctor", "", ""
"persName", "doctor", "", ""
"persName", "the coroner", "", "#nance_charles"
"placeName", " residence", "", ""
"placeName", " residence ", "", ""
"placeName", "1920 Vine Street, Hollywood.", "", ""
"placeName", "Apartment ""B,"" South Alvarado Street, 404", "", ""
"placeName", "Ireland", "", ""
"placeName", "apartment", "", ""
"placeName", "apartments", "", ""
"placeName", "buildings", "", ""
"placeName", "court", "", ""
"placeName", "court", "", ""
"placeName", "court?", "", ""
"placeName", "floor ", "", ""
"placeName", "neighborhood?", "", ""
"placeName", "room?", "", ""
"placeName", "under his head?", "", ""
"placeName", "upstairs", "", ""
