"elementName", "elementContent", "typeAttributeIfPresent"
"date", "2-9-22", "", ""
"date", "Thursday morning", "", ""
"date", "Wednesday evening", "", ""
"date", "the night before", "", ""
"objectName", "Smooth shaven", "body_part", ""
"objectName", "cap", "clothing", ""
"objectName", "cap", "clothing", ""
"objectName", "cap", "clothing", ""
"objectName", "cap", "clothing", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "door", "miscellaneous", ""
"objectName", "house", "miscellaneous", ""
"objectName", "over-coat", "clothing", ""
"objectName", "porch", "miscellaneous", ""
"objectName", "shot", "weapon", ""
"objectName", "shot", "weapon", ""
"objectName", "smooth face", "body_part", ""
"objectName", "smooth face", "body_part", ""
"objectName", "suit", "clothing", ""
"objectName", "suit", "clothing", ""
"objectName", "throat", "body_part", ""
"objectName", "throat", "body_part", ""
"persName", "Christine", "", "#wnek"
"persName", "Howard Fellows", "", "#fellows_howard"
"persName", "Mr. Arthur Hoyt", "", "#hoyt_arthur"
"persName", "Mr. Berris (first name Nigle?)", "", "#berris_nigle"
"persName", "Mr. Henry King", "", "#king_henry"
"persName", "Mr. Ince", "", "#ince"
"persName", "Mr. Mahlon Hamilton", "", "#hamilton_mahlon"
"persName", "Mr. Marshal Neilan", "", "#neilan_marshal"
"persName", "Mr. Smith", "", "#smith"
"persName", "Mr. Smith", "", "#smith"
"persName", "Mr. Smith", "", "#smith"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"placeName", "Alvarado St.", "", "#alvarado"
"placeName", "Alverado St.", "", "#alvarado"
"placeName", "Maryland St.", "", "#maryland"
