"elementName", "elementContent", "typeAttributeIfPresent"
"date", " Friday night.", "", ""
"date", "1st of December", "", ""
"date", "1st of December", "", ""
"date", "23rd of December", "", ""
"date", "Christmas", "", ""
"date", "December 1st", "", ""
"date", "December 1st", "", ""
"date", "December 23d", "", ""
"date", "December 23d", "", ""
"date", "December 23rd", "", ""
"date", "December 23rd", "", ""
"date", "February 1st", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday", "", ""
"date", "Friday night", "", ""
"date", "Friday night", "", ""
"date", "Friday night", "", ""
"date", "Friday night", "", ""
"date", "Last Friday night", "", ""
"date", "Saturday", "", ""
"date", "Saturday", "", ""
"date", "Saturday morning", "", ""
"date", "Thuraday night", "", ""
"date", "Thursday", "", ""
"date", "Thursday morning", "", ""
"date", "Thursday night", "", ""
"date", "four nights past", "", ""
"date", "in the middle of December", "", ""
"date", "next night", "", ""
"date", "night after Thursday", "", ""
"date", "nine-days", "", ""
"date", "nineteen-days", "", ""
"date", "the last of November", "", ""
"date", "time of his death", "", ""
"date", "world today", "", ""
"objectName", """quarrel,""", "", ""
"objectName", "Chesterfield cigarettes", "", ""
"objectName", "Cruise of the Kewa", "", ""
"objectName", "Locomobile", "", ""
"objectName", "automobiles", "", ""
"objectName", "bed", "", ""
"objectName", "bed", "furniture", ""
"objectName", "book", "", ""
"objectName", "camera", "", ""
"objectName", "car", "", ""
"objectName", "car", "", ""
"objectName", "car", "", ""
"objectName", "car", "", ""
"objectName", "car", "", ""
"objectName", "car", "", ""
"objectName", "car", "vehicle", ""
"objectName", "cigar", "", ""
"objectName", "cigarette", "accessories", ""
"objectName", "cigarettes", "", ""
"objectName", "cigarettes", "", ""
"objectName", "cigarettes", "", "#accessories"
"objectName", "clothes", "", ""
"objectName", "cocktails", "", ""
"objectName", "couch", "", ""
"objectName", "eggs", "", ""
"objectName", "eggs", "", ""
"objectName", "eggs", "food_drink", ""
"objectName", "eggs", "food_drink", ""
"objectName", "flowers", "", ""
"objectName", "fur coat", "", ""
"objectName", "green car", "", ""
"objectName", "letter", "", "#letter"
"objectName", "letter", "communication", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "", ""
"objectName", "letters", "communication", ""
"objectName", "letters", "communication", ""
"objectName", "letters", "communication", ""
"objectName", "letters", "communication", ""
"objectName", "letters", "communication", ""
"objectName", "letters", "communication", ""
"objectName", "lights", "", ""
"objectName", "machine", "", ""
"objectName", "my coat", "", ""
"objectName", "newspaper", "", ""
"objectName", "note", "", "#letter"
"objectName", "paper", "", ""
"objectName", "papers", "", ""
"objectName", "picture", "", ""
"objectName", "piece of paper", "miscellaneous", ""
"objectName", "productions", "", ""
"objectName", "quarrel", "", ""
