"elementName", "elementContent", "typeAttributeIfPresent"
"date", "Thursday morning [February 2]", "", ""
"date", "evening", "", ""
"date", "evening?", "", ""
"date", "next morning", "", ""
"date", "next morning", "", ""
"date", "night before", "", ""
"objectName", "apartment", "miscellaneous", ""
"objectName", "back door", "furniture", ""
"objectName", "back door key", "miscellaneous", ""
"objectName", "back door screen", "furniture", ""
"objectName", "bottle of medicine", "miscellaneous", ""
"objectName", "chair", "", ""
"objectName", "chair", "furniture", ""
"objectName", "chair", "furniture", ""
"objectName", "court", "miscellaneous", ""
"objectName", "diamond ring", "", ""
"objectName", "diamond ring", "", ""
"objectName", "door", "", ""
"objectName", "door", "", ""
"objectName", "door", "furniture", ""
"objectName", "door", "furniture", ""
"objectName", "face", "body_part", ""
"objectName", "feet", "body_part", ""
"objectName", "feet", "body_part", ""
"objectName", "furniture", "", ""
"objectName", "hook", "miscellaneous", ""
"objectName", "house", "miscellaneous", ""
"objectName", "house", "miscellaneous", ""
"objectName", "house", "miscellaneous", ""
"objectName", "jewelry?", "", ""
"objectName", "jewelry?", "", ""
"objectName", "lead pencil", "", ""
"objectName", "limousine", "", ""
"objectName", "living-room table", "", ""
"objectName", "milk of magnesia", "miscellaneous", ""
"objectName", "paper", "", ""
"objectName", "paper", "miscellaneous", ""
"objectName", "red-backed book", "miscellaneous", ""
"objectName", "rocking chair", "", ""
"objectName", "two-story apartment", "miscellaneous", ""
"objectName", "window", "", ""
"objectName", "windows", "", ""
"objectName", "wrist watch", "", ""
"persName", "Bennett Smart", "", "#smart"
"persName", "Charles Maigne", "", "#maigne_charles"
"persName", "Christian Tait", "", "#tait"
"persName", "He", "", "#taylor_william"
"persName", "He", "", "#taylor_william"
"persName", "Henry Peavey", "", "#peavey_henry"
"persName", "Miss Normand", "", ""
"persName", "Miss Normand", "", "#normand_mabel"
"persName", "Miss Normand's", "", ""
"persName", "Mr. MacLean", "", "#maclean_douglas"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Desmond", "", ""
"persName", "Mr. Jessurun?", "", ""
"persName", "Mr. Peavey", "", "#peavey_henry"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor?", "", ""
"persName", "he", "", "#taylor_william"
"persName", "he", "", "#taylor_william"
"persName", "he", "", "#taylor_william"
"persName", "him?", "", "#taylor_william"
"persName", "the gentleman", "", ""
"placeName", "127 1/2 East 3rd Street.", "", ""
"placeName", "apartment", "", ""
"placeName", "back", "", ""
"placeName", "bedroom", "", ""
"placeName", "corner of 5th and Los Angeles", "", ""
"placeName", "dining-room", "", ""
"placeName", "dining-room", "", ""
"placeName", "dining-room", "", ""
"placeName", "dining-room", "", ""
"placeName", "drug store", "", ""
"placeName", "entrance", "", ""
"placeName", "entrance to the dining-room", "", ""
"placeName", "front", "", ""
"placeName", "front", "", ""
"placeName", "front room", "", ""
"placeName", "front room", "", ""
"placeName", "ground floor", "", ""
"placeName", "house", "", ""
"placeName", "inside", "", ""
"placeName", "kitchen", "", ""
"placeName", "living-room", "", ""
"placeName", "living-room", "", ""
"placeName", "living-room", "", ""
"placeName", "next door", "", ""
"placeName", "next door", "", ""
