"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1919", "", ""
"date", "1920", "", ""
"date", "[DATE OF STATEMENT]", "", ""
"date", "two nights afterward", "", ""
"objectName", " drawer", "furniture", ""
"objectName", "Aeolian Organ", "weapon", ""
"objectName", "automatic", "weapon", ""
"objectName", "blue Packard", "vehicle", ""
"objectName", "book", "miscellaneous", ""
"objectName", "bullet", "accessories", ""
"objectName", "bullets", "accessories", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "closet", "furniture", ""
"objectName", "closet", "furniture", ""
"objectName", "closet", "furniture", ""
"objectName", "diary", "miscellaneous", ""
"objectName", "diary", "miscellaneous", ""
"objectName", "diary", "miscellaneous", ""
"objectName", "door", "furniture", ""
"objectName", "door", "furniture", ""
"objectName", "door", "furniture", ""
"objectName", "door", "furniture", ""
"objectName", "door", "furniture", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "house", "", ""
"objectName", "letters", "communication", ""
"objectName", "long pistol", "weapon", ""
"objectName", "papers", "miscellaneous", ""
"objectName", "papers", "miscellaneous", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistol", "weapon", ""
"objectName", "pistols", "weapon", ""
"objectName", "pistols", "weapon", ""
"objectName", "report", "miscellaneous", ""
"objectName", "revolver", "weapon", ""
"objectName", "revolver", "weapon", ""
"objectName", "revolver", "weapon", ""
"objectName", "revolver", "weapon", ""
"objectName", "road", "miscellaneous", ""
"objectName", "shot gun.", "weapon", ""
"objectName", "stairs", "furniture", ""
"objectName", "steps", "furniture", ""
"objectName", "telephone", "accessories", ""
"objectName", "telephone", "furniture", ""
"objectName", "weapon", "weapon", ""
"persName", " Mary's", "", "#minter_mary"
"persName", " Mr. Mott", "", "#mott_john"
"persName", " Mrs. Shelby", "", "#shelby_charlotte"
"persName", "(Mary)", "", "#minter_mary"
"persName", "(Taylor)", "", "#taylor_william"
"persName", "Charlotte Whitney", "", "#whitney_charlotte"
"persName", "Charlotte (Miss Whitney)", "", "#whitney_charlotte"
"persName", "Charlotte Whitney's", "", "#whitney_charlotte"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Chauncey", "", "#eaton_chauncy"
"persName", "Ellie Luciani", "", "#luciani"
"persName", "Harry Eaves", "", ""
"persName", "I", "", "#shelby_charlotte"
"persName", "I", "", "#shelby_charlotte"
"persName", "Jack Murphy", "", "#murphy"
"persName", "Jeannie McPherson.", "", ""
"persName", "Julia", "", "#ivors_julia"
"persName", "MR. DAVIS", "", "#davies_william"
"persName", "Margaret", "", "#shelby_margaret"
"persName", "Marshall Neilan", "", "#neilan_marshall"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
