"elementName", "elementContent", "typeAttributeIfPresent"
"date", " February, 4 1922 at 10:00 a.m.", "", ""
"objectName", " car ", "vehicle", ""
"objectName", " my hand", "body_part", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "car", "vehicle", ""
"objectName", "stairs", "miscellaneous", ""
"persName", " Mabel Normand.", "", "#normand_mabel"
"persName", " Mr. Peavey", "", "#peavey_henry"
"persName", " Olivia Witzmann ", "", "#witzmann"
"persName", "Henry", "", "#peavey_henry"
"persName", "Henry Peavey", "", "#peavey_henry"
"persName", "Henry Peavey", "", "#peavey_henry"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "my chauffeur", "", "#davies_william"
"persName", "my maid", "", " #owens_mamie"
"placeName", "3089 West Seventh.", "", ""
"placeName", "On Alvarado street?", "", ""
"placeName", "hill", "", ""
"placeName", "his place", "", ""
"placeName", "his place", "", ""
"placeName", "home", "", ""
"placeName", "on the sidewalk", "", ""
"placeName", "outside", "", ""
"placeName", "the house", "", ""
"placeName", "the court", "", ""
"placeName", "the house", "", ""
"placeName", "the house", "", ""
"placeName", "the house", "", ""
