"elementName", "elementContent", "typeAttributeIfPresent"
"date", "Statement taken ll-28-25", "", ""
"objectName", "Revolver", "weapon", ""
"objectName", "coat sleeve", "clothing", ""
"objectName", "face", "body_part", ""
"objectName", "fist", "body_part", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun", "weapon", ""
"objectName", "gun.", "weapon", ""
"objectName", "hand", "body_part", ""
"objectName", "hand", "body_part", ""
"objectName", "it", "weapon", ""
"objectName", "pistol or revolver", "weapon", ""
"persName", "Charley Maigne", "", "#maigne_charles"
"persName", "Earl Stockdale", "", "#stockdale_carl"
"persName", "Edith Stewart", "", "Stewart"
"persName", "Ernest", "", "Ernest"
"persName", "Frederick", "", "Frederick"
"persName", "Jeanne", "", "#mcpherson_jeanne"
"persName", "Jeanne", "", "#mcpherson_jeanne"
"persName", "Jeanne McPherson", "", "#mcpherson_jeanne"
"persName", "M. George Periolet.", "", "#periolet_george"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary", "", "#minter_mary"
"persName", "Mary ", "", "#minter_mary"
"persName", "Mary's", "", "#minter_mary"
"persName", "Meghan Quinn", "", "Quinn"
"persName", "Monte Blue", "", "#blue_monte"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Mrs. O'Neil", "", "#oneil"
"persName", "Mrs. She1by", "", "#shelby_charlotte"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Mrs. Shelby", "", "#shelby_charlotte"
"persName", "Pauline", "", "Pauline"
"persName", "She", "", "#minter_mary"
"persName", "She", "", "#shelby_charlotte"
"persName", "She", "", "#maigne_charles"
"persName", "Shelby", "", "#shelby_charlotte"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "mother", "", "#shelby_charlotte"
"persName", "she", "", "#shelby_charlotte"
"persName", "she", "", "#shelby_charlotte"
"persName", "she", "", "#shelby_charlotte"
"persName", "she", "", "#shelby_charlotte"
"placeName", " mother's room ", "", ""
"placeName", "Engstrom Apartments, Los Angeles.", "", ""
"placeName", "Taylor's", "", ""
"placeName", "dressing room", "", ""
"placeName", "dressing room", "", ""
"placeName", "house", "", ""
"placeName", "house", "", ""
"placeName", "my office", "", ""
"placeName", "office", "", ""
"placeName", "office", "", ""
"placeName", "set", "", ""
