"elementName", "elementContent", "typeAttributeIfPresent"
"date", "2/4/1922", "", ""
"date", "February 2nd.", "", ""
"objectName", ".32 automatic Savage", "weapon", ""
"objectName", ".38", "weapon", ""
"objectName", "automobile", "", ""
"objectName", "blood", "body_part", ""
"objectName", "box", "", ""
"objectName", "bullet", "weapon", ""
"objectName", "bullet", "weapon", ""
"objectName", "clothing", "clothing", ""
"objectName", "door", "", ""
"objectName", "door", "furniture", ""
"objectName", "drawer", "furniture", ""
"objectName", "evidence", "miscellaneous", ""
"objectName", "hands", "body_part", ""
"objectName", "shells", "weapon", ""
"objectName", "weapon", "weapon", ""
"objectName", "weapon", "weapon", ""
"persName", "Henry Peavey", "", "#peavey_henry"
"persName", "Mr. Jessurun", "", "#jessurun"
"persName", "Mr. Jessurun", "", "#jessurun"
"persName", "Mr. MacLean", "", "#maclean_douglas"
"persName", "Mr. MacLean", "", "#maclean_douglas"
"persName", "Mr. MacLean", "", "#maclean_douglas"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mr. Taylor's", "", "#taylor_william"
"persName", "Mr. Ziegler", "", "#ziegler_thomas"
"persName", "Mrs. MacLean", "", "#maclean_douglas"
"persName", "Mrs. MacLean's", "", "#maclean_faith"
"persName", "Peavey", "", "#peavey_henry"
"persName", "T.H. Ziegler", "", "#ziegler_thomas"
"persName", "Taylor", "", "#taylor_william"
"persName", "[Charles Maigne]", "", "#maigne_charles"
"placeName", "425 North Hill.", "", ""
"placeName", "Maryland", "", ""
"placeName", "building", "", ""
"placeName", "front bedroom in the dresser drawer", "", ""
"placeName", "house", "", ""
"placeName", "next door east", "", ""
"placeName", "premises", "", ""
"placeName", "room above", "", ""
"placeName", "street", "", ""
"placeName", "upstairs", "", ""
"placeName", "upstairs", "", ""
